Country,Case def.,Total cases,Cases last 21 days,Total deaths,Country Report Date
Guinea,Confirmed,3351,0,2083,2015-12-27
Guinea,Probable,453,,453,
Guinea,Suspected,0,,,
Guinea,All,3804,0,2536,
Liberia,Confirmed,3151,,,2015-05-09
Liberia,Probable,1879,,,
Liberia,Suspected,5636,,,
Liberia,All,10666,,4806,
Liberia2,Confirmed,9,0,3,2015-12-27
Liberia2,Probable,0,,,
Liberia2,Suspected,,,,
Liberia2,All,9,0,3,
Sierra Leone,Confirmed,8704,0,3589,2015-11-08
Sierra Leone,Probable,287,,208,
Sierra Leone,Suspected,5131,,158,
Sierra Leone,All,14122,0,3955,
Italy,Confirmed,1,,0,
Italy,Probable,0,,0,
Italy,Suspected,0,,0,
Italy,All,1,,0,
Mali,Confirmed,7,,,
Mali,Probable,1,,,
Mali,Suspected,0,,,
Mali,All,8,,6,
United Kingdom,Confirmed,1,,0,
United Kingdom,Probable,0,,0,
United Kingdom,Suspected,0,,0,
United Kingdom,All,1,,0,
United States of America,Confirmed,4,,1,
United States of America,Probable,0,,0,
United States of America,Suspected,0,,0,
United States of America,All,4,,1,
Nigeria,Confirmed,19,,7,2014-10-19
Nigeria,Probable,1,,1,
Nigeria,Suspected,0,,0,
Nigeria,All,20,,8,
Senegal,Confirmed,1,,0,2014-10-17
Senegal,Probable,0,,0,
Senegal,Suspected,0,,0,
Senegal,All,1,,0,
Spain,Confirmed,1,,0,2014-12-02
Spain,Probable,0,,0,
Spain,Suspected,0,,0,
Spain,All,1,,0,
Guinea,Confirmed,3351,0,2083,2015-12-20
Guinea,Probable,453,,453,
Guinea,Suspected,0,,,
Guinea,All,3804,0,2536,
Liberia,Confirmed,3151,,,2015-05-09
Liberia,Probable,1879,,,
Liberia,Suspected,5636,,,
Liberia,All,10666,,4806,
Liberia2,Confirmed,9,0,3,2015-12-20
Liberia2,Probable,0,,,
Liberia2,Suspected,,,,
Liberia2,All,9,0,3,
Sierra Leone,Confirmed,8704,0,3589,2015-11-08
Sierra Leone,Probable,287,,208,
Sierra Leone,Suspected,5131,,158,
Sierra Leone,All,14122,0,3955,
Italy,Confirmed,1,,0,
Italy,Probable,0,,0,
Italy,Suspected,0,,0,
Italy,All,1,,0,
Mali,Confirmed,7,,,
Mali,Probable,1,,,
Mali,Suspected,0,,,
Mali,All,8,,6,
United Kingdom,Confirmed,1,,0,
United Kingdom,Probable,0,,0,
United Kingdom,Suspected,0,,0,
United Kingdom,All,1,,0,
United States of America,Confirmed,4,,1,
United States of America,Probable,0,,0,
United States of America,Suspected,0,,0,
United States of America,All,4,,1,
Nigeria,Confirmed,19,,7,2014-10-19
Nigeria,Probable,1,,1,
Nigeria,Suspected,0,,0,
Nigeria,All,20,,8,
Senegal,Confirmed,1,,0,2014-10-17
Senegal,Probable,0,,0,
Senegal,Suspected,0,,0,
Senegal,All,1,,0,
Spain,Confirmed,1,,0,2014-12-02
Spain,Probable,0,,0,
Spain,Suspected,0,,0,
Spain,All,1,,0,
Guinea,Confirmed,3351,0,2083,2015-12-13
